"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","24/817","95/9376",0.252631578947368,2.89923339560652,5.74814755277668,1.28660136022721e-06,3.58967568664951e-05,2.87893789405474e-05,"3683/2920/3383/7042/3589/10673/7040/3458/942/8600/3553/245973/3689/2353/3119/1435/3111/4050/7124/6352/102723407/6349/414062/6348",24
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","42/817","224/9376",0.1875,2.15177478580171,5.39037182489193,1.35414038191083e-06,3.58967568664951e-05,2.87893789405474e-05,"3683/1870/6688/4791/581/3383/7042/3560/4792/4773/5971/7040/3718/595/7850/991/894/1958/113/7538/4772/2874/7157/890/3561/1030/701/90993/3689/917/4487/9232/915/2353/5293/8061/3119/3932/916/3111/4049/7124",42
"hsa04148","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","33/817","157/9376",0.210191082802548,2.41218065159937,5.51294080001149,1.38886261685844e-06,3.58967568664951e-05,2.87893789405474e-05,"6376/23166/240/54896/9564/815/489/8578/4773/10326/57617/7040/26762/1788/10396/4772/63982/84868/4240/89790/84466/1844/714/558/1524/713/712/5029/8877/29933/8398/3690/338382",33
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","39/817","205/9376",0.190243902439024,2.18326417291101,5.29219029648828,2.22616792484406e-06,5.34280301962575e-05,4.28495480270737e-05,"3683/1870/695/864/960/578/4791/581/57506/4938/3383/4792/5971/2208/3718/595/1647/1380/894/10912/7157/890/4794/917/915/6890/5293/930/3119/3665/919/916/3111/10379/6892/7124/4067/9641/102723407",39
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","25/817","105/9376",0.238095238095238,2.73241242641487,5.51528300815584,2.52307603316006e-06,5.65169031427854e-05,4.53268396132615e-05,"695/4791/2920/3383/4792/10673/5971/7535/1647/8600/5328/3553/8740/10912/929/3932/84433/4049/4050/7124/4067/102723407/6351/9560/388372",25
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","24/817","99/9376",0.242424242424242,2.78209265234969,5.507179751568,2.84331278886488e-06,5.97095685661624e-05,4.78873732861453e-05,"3683/3383/6404/5340/718/2212/2209/714/3689/1669/717/5724/3684/3880/719/713/712/3119/2359/1675/2214/3111/1668/102723407",24
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","25/817","109/9376",0.229357798165138,2.63214041076662,5.29524841030131,5.1899986116324e-06,9.73549268225321e-05,7.80791393062914e-05,"3594/3560/4792/4773/50615/9466/10148/7040/3718/2625/3458/7535/3553/4772/3662/4794/3561/917/915/2353/3119/3932/919/916/3111",25
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","22/817","89/9376",0.247191011235955,2.83679672135657,5.37902458618091,5.21544250834994e-06,9.73549268225321e-05,7.80791393062914e-05,"3674/960/3918/3161/1311/1277/1297/3676/2335/1284/80144/1292/9900/3678/1278/7148/2815/2814/2811/7058/1282/3690",22
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","24/817","103/9376",0.233009708737864,2.67405021924873,5.27791167188162,5.97130783970313e-06,0.00010559786495475,8.46900170063158e-05,"3918/2769/87/2920/7042/1511/7040/1277/3458/2335/7850/3553/1284/912/911/3689/1278/3684/929/5293/1282/7124/102723407/338382",24
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","23/817","103/9376",0.223300970873786,2.56263146011337,4.9266328616372,1.95640069833412e-05,0.000328675317320131,0.00026359925198607,"2769/5522/7042/4792/7040/3458/3553/718/714/917/915/2353/5293/713/712/10333/919/916/7124/6352/6349/414062/6348",23
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","30/817","155/9376",0.193548387096774,2.22118687566629,4.73635361839086,2.31484287299818e-05,0.000370374859679709,0.000297042493978714,"4353/9902/8685/949/30835/11151/1311/4688/718/2212/245973/2209/81035/3689/3678/1520/1536/6890/3684/929/10333/84617/3119/7058/79659/2214/3111/3690/102723407/338382",30
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","19/817","78/9376",0.243589743589744,2.79546809779368,4.91943669855838,2.83540694509874e-05,0.000433043969796899,0.000347303434423578,"7042/4792/7040/3458/3676/4688/3553/718/2212/2209/3689/1536/3684/2353/3119/2214/3111/7124/102723407",19
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","33/817","181/9376",0.18232044198895,2.09233349337625,4.58462506263736,3.31358760756821e-05,0.000484071928757791,0.000388228113289457,"843/9902/815/581/30835/7042/11151/7040/3587/1594/3458/3553/718/4046/3656/3687/2212/2209/2207/3689/1520/64127/3684/929/7096/10333/8877/3119/4261/2214/3111/7124/102723407",33
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","26/817","136/9376",0.191176470588235,2.19396644826841,4.33322005698742,9.90394726383473e-05,0.00138655261693686,0.00111202214892179,"578/581/57506/4938/30835/3560/4792/27113/3718/595/868/894/3553/7157/3561/917/915/2353/5293/3310/3665/51284/916/3304/10379/9641",26
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","26/817","138/9376",0.188405797101449,2.16216983307612,4.24918182897044,0.000127271773513921,0.00171053263602709,0.00137185574819216,"7454/9564/9138/2533/4792/4773/4210/29108/3984/7535/3676/2335/3553/5880/10095/4772/7409/2212/3678/2353/5293/926/391/3932/7124/102723407",26
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","24/817","126/9376",0.19047619047619,2.1859299411319,4.14055533778737,0.000192226087085255,0.00248415251002483,0.0019923027649322,"3674/6915/695/9138/54518/5742/5294/5023/1277/113/23533/2212/83706/2207/5739/1278/4846/2815/5293/2814/2811/4067/3690/84876",24
"hsa05134","Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","14/817","56/9376",0.25,2.86903304773562,4.33399285619013,0.000235257651116597,0.00292765076945098,0.00234799059204089,"1195/4791/2920/4792/29108/57396/3553/718/3689/3684/929/3310/3304/7124",14
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","13/817","50/9376",0.26,2.98379436964504,4.34529337292069,0.000256791859269764,0.00305316256441326,0.00244865168073244,"3683/3383/7042/7040/1311/3458/3553/3689/7058/3040/3039/7124/3043",13
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","28/817","160/9376",0.175,2.00832313341493,3.97441892964564,0.000263517007047573,0.00305316256441326,0.00244865168073244,"3683/3385/5788/6614/3383/80381/5818/6404/942/3676/914/4684/3689/120425/9672/29851/1365/3684/926/1002/3119/1003/201633/5133/1364/6693/3897/3111",28
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","36/817","227/9376",0.158590308370044,1.82000334305696,3.86390901208516,0.00029029724880808,0.00325132918665049,0.0026075823050831,"6376/1870/578/5733/9564/9138/581/4792/4773/595/3587/59345/113/3553/5880/4772/5156/7157/90993/1234/1230/115004/2786/6890/5293/6199/6892/7124/3690/6352/6351/9560/388372/6349/414062/6348",36
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","32/817","195/9376",0.164102564102564,1.88326271851364,3.85076809635459,0.000334135328483996,0.00362159581840718,0.00290453799972506,"4353/3683/3674/51564/1511/79792/10014/6404/4688/8970/718/5880/27180/2212/2209/3689/1536/3684/5293/92815/8349/2811/2359/51284/8969/1991/2214/3690/8370/85235/102723407/8331",32
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","20/817","101/9376",0.198019801980198,2.272501423949,3.97234680993227,0.000378722087494348,0.00394123511449256,0.00316089031738752,"581/4313/3383/7042/7040/1277/595/2335/1958/3553/4772/1284/113026/1278/4846/1536/5293/7056/1282/7124",20
